name,aphelion_AU,perihelion_AU,diameter_earths,orbital_velocity_kmps,inclination_deg,Omega_deg,arg_periapsis_deg
Mercury,0.467,0.307,7.00487,48.33167,77.45645
Venus,0.782,0.718,3.39471,76.68069,131.53298
Earth,1.1017,0.983,0.00005,-11.26064,102.94719
Mars,1.666,1.382,1.85061,49.57854,336.04084
Jupiter,5.455,4.951,1.30530,100.55615,14.75385
Saturn,10.044,9.014,2.48446,113.71504,92.43194
Uranus,20.07,18.31,0.76986,74.22988,170.96424
Neptune,30.36,29.76,1.76917,131.72169,44.97135
